Date,Spotify_Ad-supported,Spotify_Premium
Aug-49,0.00053837184615385,0.00081129169230769
Sep-49,0.00053837184615385,0.00081129169230769
Oct-49,0.00053837184615385,0.00081129169230769
Nov-49,0.00053837184615385,0.00081129169230769
Dec-49,0.00053837184615385,0.00081129169230769
Jan-50,0.00053837184615385,0.00081129169230769
Feb-50,0.00053837184615385,0.00081129169230769
Mar-50,0.00053837184615385,0.00081129169230769
Apr-50,0.00053837184615385,0.00081129169230769
May-50,0.00053837184615385,0.00081129169230769
Jun-50,0.00053837184615385,0.00081129169230769
Jul-50,0.00053837184615385,0.00081129169230769
Aug-50,0.00053837184615385,0.00081129169230769
Sep-50,0.00053837184615385,0.00081129169230769
Oct-50,0.00053837184615385,0.00081129169230769
Nov-50,0.00053837184615385,0.00081129169230769
Dec-50,0.00053837184615385,0.00081129169230769
Jan-51,0.00053837184615385,0.00081129169230769
Feb-51,0.00053837184615385,0.00081129169230769
Mar-51,0.00053837184615385,0.00081129169230769
Apr-51,0.00053837184615385,0.00081129169230769
May-51,0.00053837184615385,0.00081129169230769
Jun-51,0.00053837184615385,0.00081129169230769
Jul-51,0.00053837184615385,0.00081129169230769
Aug-51,0.00053837184615385,0.00081129169230769
Sep-51,0.00053837184615385,0.00081129169230769
Oct-51,0.00053837184615385,0.00081129169230769
Nov-51,0.00053837184615385,0.00081129169230769
Dec-51,0.00053837184615385,0.00081129169230769
Jan-52,0.00053837184615385,0.00081129169230769
Feb-52,0.00053837184615385,0.00081129169230769
Mar-52,0.00053837184615385,0.00081129169230769
Apr-52,0.00053837184615385,0.00081129169230769
May-52,0.00053837184615385,0.00081129169230769
Jun-52,0.00053837184615385,0.00081129169230769
Jul-52,0.00053837184615385,0.00081129169230769
Aug-52,0.00053837184615385,0.00081129169230769
Sep-52,0.00053837184615385,0.00081129169230769
Oct-52,0.00053837184615385,0.00081129169230769
Nov-52,0.00053837184615385,0.00081129169230769
Dec-52,0.00053837184615385,0.00081129169230769
Jan-53,0.00053837184615385,0.00081129169230769
Feb-53,0.00053837184615385,0.00081129169230769
Mar-53,0.00053837184615385,0.00081129169230769
Apr-53,0.00053837184615385,0.00081129169230769
May-53,0.00053837184615385,0.00081129169230769
Jun-53,0.00053837184615385,0.00081129169230769
Jul-53,0.00053837184615385,0.00081129169230769
Aug-53,0.00053837184615385,0.00081129169230769
Sep-53,0.00053837184615385,0.00081129169230769
Oct-53,0.00053837184615385,0.00081129169230769
Nov-53,0.00053837184615385,0.00081129169230769
Dec-53,0.00053837184615385,0.00081129169230769
Jan-54,0.00053837184615385,0.00081129169230769
Feb-54,0.00053837184615385,0.00081129169230769
Mar-54,0.00053837184615385,0.00081129169230769
Apr-54,0.00053837184615385,0.00081129169230769
May-54,0.00053837184615385,0.00081129169230769
Jun-54,0.00053837184615385,0.00081129169230769
Jul-54,0.00053837184615385,0.00081129169230769
Aug-54,0.00053837184615385,0.00081129169230769
Sep-54,0.00053837184615385,0.00081129169230769
Oct-54,0.00053837184615385,0.00081129169230769
Nov-54,0.00053837184615385,0.00081129169230769
Dec-54,0.00053837184615385,0.00081129169230769
Jan-55,0.00053837184615385,0.00081129169230769
Feb-55,0.00053837184615385,0.00081129169230769
Mar-55,0.00053837184615385,0.00081129169230769
Apr-55,0.00053837184615385,0.00081129169230769
May-55,0.00053837184615385,0.00081129169230769
Jun-55,0.00053837184615385,0.00081129169230769
Jul-55,0.00053837184615385,0.00081129169230769
Aug-55,0.00053837184615385,0.00081129169230769
Sep-55,0.00053837184615385,0.00081129169230769
Oct-55,0.00053837184615385,0.00081129169230769
Nov-55,0.00053837184615385,0.00081129169230769
Dec-55,0.00053837184615385,0.00081129169230769
Jan-56,0.00053837184615385,0.00081129169230769
Feb-56,0.00053837184615385,0.00081129169230769
Mar-56,0.00053837184615385,0.00081129169230769
Apr-56,0.00053837184615385,0.00081129169230769
May-56,0.00053837184615385,0.00081129169230769
Jun-56,0.00053837184615385,0.00081129169230769
Jul-56,0.00053837184615385,0.00081129169230769
Aug-56,0.00053837184615385,0.00081129169230769
Sep-56,0.00053837184615385,0.00081129169230769
Oct-56,0.00053837184615385,0.00081129169230769
Nov-56,0.00053837184615385,0.00081129169230769
Dec-56,0.00053837184615385,0.00081129169230769
Jan-57,0.00053837184615385,0.00081129169230769
Feb-57,0.00053837184615385,0.00081129169230769
Mar-57,0.00053837184615385,0.00081129169230769
Apr-57,0.00053837184615385,0.00081129169230769
May-57,0.00053837184615385,0.00081129169230769
Jun-57,0.00053837184615385,0.00081129169230769
Jul-57,0.00053837184615385,0.00081129169230769
Aug-57,0.00053837184615385,0.00081129169230769
Sep-57,0.00053837184615385,0.00081129169230769
Oct-57,0.00053837184615385,0.00081129169230769
Nov-57,0.00053837184615385,0.00081129169230769
Dec-57,0.00053837184615385,0.00081129169230769
Jan-58,0.00053837184615385,0.00081129169230769
Feb-58,0.00053837184615385,0.00081129169230769
Mar-58,0.00053837184615385,0.00081129169230769
Apr-58,0.00053837184615385,0.00081129169230769
May-58,0.00053837184615385,0.00081129169230769
Jun-58,0.00053837184615385,0.00081129169230769
Jul-58,0.00053837184615385,0.00081129169230769
Aug-58,0.00053837184615385,0.00081129169230769
Sep-58,0.00053837184615385,0.00081129169230769
Oct-58,0.00053837184615385,0.00081129169230769
Nov-58,0.00053837184615385,0.00081129169230769
Dec-58,0.00053837184615385,0.00081129169230769
Jan-59,0.00053837184615385,0.00081129169230769
Feb-59,0.00053837184615385,0.00081129169230769
Mar-59,0.00053837184615385,0.00081129169230769
Apr-59,0.00053837184615385,0.00081129169230769
May-59,0.00053837184615385,0.00081129169230769
Jun-59,0.00053837184615385,0.00081129169230769
Jul-59,0.00053837184615385,0.00081129169230769
Aug-59,0.00053837184615385,0.00081129169230769
Sep-59,0.00053837184615385,0.00081129169230769
Oct-59,0.00053837184615385,0.00081129169230769
Nov-59,0.00053837184615385,0.00081129169230769
Dec-59,0.00053837184615385,0.00081129169230769
Jan-60,0.00053837184615385,0.00081129169230769
Feb-60,0.00053837184615385,0.00081129169230769
Mar-60,0.00053837184615385,0.00081129169230769
